q1,q2,q3,q4,q5,q6,q7,q29,q58,q65,q67,weight,stratum,psu
5,1,2,2,A,1.63,49.9,1,1,1,2,0.0089,300,58418
4,1,2,2,A,1.6,50.8,3,1,1,1,0.0089,300,58418
6,1,2,2,,,,1,1,4,1,0.0089,300,58418
6,1,2,2,A,1.55,58.97,1,1,1,3,0.0089,300,58418
4,2,2,2,A,1.9,65.77,1,1,1,2,0.0033,300,58418
5,2,2,2,A,1.75,106.6,1,1,1,1,0.0033,300,58418
4,1,2,2,A,1.65,61.24,1,1,1,4,0.0089,300,58418
5,1,2,2,A,1.78,81.65,1,1,1,1,0.0089,300,58418
5,2,2,2,A,,,1,1,3,4,0.0033,300,58418
4,2,2,2,,,,2,1,,,0.0033,300,58418
6,2,2,2,A,1.68,81.65,1,1,1,1,0.0033,300,58418
,2,2,2,A,,,,,,,0.0033,300,58418
6,1,2,2,D,,,1,1,1,1,0.0278,300,58418
3,2,1,2,A,1.65,63.5,1,2,1,1,0.0033,300,58418
5,1,2,2,A,1.55,52.16,1,2,1,1,0.0089,300,58418
7,1,4,2,A,1.6,81.65,2,1,1,1,0.0155,300,58418
7,2,4,2,A,,,,,,1,0.0085,300,58418
4,1,1,2,A,1.57,68.04,1,2,1,1,0.007,300,58418
4,1,1,2,A,1.68,58.97,1,1,1,1,0.007,300,58418
4,1,2,2,A,1.57,51.71,1,2,1,1,0.0089,300,58418
7,2,4,2,A,1.88,131.54,1,2,1,1,0.0085,300,58418
7,2,4,1,A   E,1.73,67.13,1,7,1,3,0.0331,300,58418
4,2,1,2,A,1.78,84.37,1,1,1,2,0.0033,300,58418
3,2,1,2,A,1.78,89.36,1,1,1,1,0.0033,300,58418
5,1,2,2,A,1.45,55.79,1,2,1,1,0.0089,300,58418
7,1,4,2,A,1.57,72.58,1,1,1,1,0.0155,300,58418
5,2,1,,,,,1,1,1,1,0.0033,300,58418
3,2,1,2,A,1.7,63.05,1,2,1,2,0.0033,300,58418
4,2,2,2,A,1.75,74.84,1,1,1,3,0.0033,300,58418
6,2,4,2,A,1.78,88.45,1,1,1,1,0.0085,300,58418
7,1,4,2,A,1.63,58.97,1,1,1,1,0.0155,300,58418
3,1,1,2,A,1.63,61.24,1,1,1,1,0.007,300,58418
4,2,1,2,A,1.68,61.24,1,1,1,2,0.0033,300,58418
4,1,2,2,A,1.63,72.58,1,1,1,1,0.0089,300,58418
6,1,4,2,A,1.57,63.5,1,2,1,4,0.0155,300,58418
7,2,4,2,A,1.7,65.77,1,1,1,4,0.0085,300,58418
5,1,1,2,A,1.57,104.33,3,2,1,3,0.007,300,58418
4,1,1,2,A,1.63,54.89,1,1,1,1,0.007,300,58418
6,2,2,2,A,1.63,66.68,1,3,1,1,0.0033,300,58418
6,1,4,2,A,1.65,54.43,1,2,1,2,0.0155,300,58418
7,1,4,2,A,1.68,81.19,1,7,1,2,0.0155,300,58418
3,2,1,,A,1.7,72.58,1,1,1,1,0.0033,300,58418
3,1,1,2,A,1.7,124.74,1,1,1,1,0.007,300,58418
4,1,2,2,A,1.63,65.77,1,1,1,4,0.0089,300,58418
